id,user,transaction_date,sales_amount,join_date,region,,
47532,629,2016-01-11,15.31,2013-07-02,N,,
47533,2664,2016-01-11,9.01,2014-11-12,D,,
47534,1126,2016-01-11,3.49,2014-07-25,D,,
47535,2660,2016-01-11,70.75,2013-06-05,I,,
47536,1873,2016-01-11,98.34,2014-12-22,I,,
47537,2388,2016-01-11,7.37,2015-03-08,H,,
47538,1753,2016-01-11,64.11,2015-02-06,C,,
47539,2899,2016-01-11,178.63,2013-07-01,M,,
47540,3600,2016-01-11,102.35,2014-03-21,L,,
47541,4603,2016-01-11,89.59,2013-10-04,B,,
47542,4493,2016-01-11,10.57,2013-08-21,G,,
47543,6474,2016-01-11,30.67,2014-05-28,C,,
47544,4240,2016-01-11,54.51,2013-08-07,H,,
47545,6913,2016-01-11,61.39,2015-11-10,G,,
47546,5681,2016-01-11,54.02,2013-12-18,I,,
47547,4326,2016-01-11,33.31,2013-08-21,A,,
47548,7201,2016-01-11,7.31,2015-09-03,B,,
47549,8089,2016-01-11,52.87,2016-01-11,G,,
47550,8118,2016-01-11,32.62,2008-03-25,H,,
47551,7201,2016-01-11,17.88,2015-09-03,B,,
47552,328,2016-01-12,12.21,2008-09-13,D,,
47553,131,2016-01-12,33.52,2008-06-14,D,,
47554,565,2016-01-12,68.72,2010-10-30,B,,
47555,88,2016-01-12,102.62,2005-11-02,C,,
47556,88,2016-01-12,46.61,2005-11-02,C,,
47557,4,2016-01-12,20.39,2011-07-28,B,,
47558,631,2016-01-12,22.87,2001-09-14,B,,
47559,467,2016-01-12,70.90,2009-10-17,C,,
47560,1587,2016-01-12,13.52,2013-10-30,B,,
47561,1594,2016-01-12,39.04,2012-01-04,M,,
47562,3561,2016-01-12,15.92,2013-07-01,H,,
47563,4125,2016-01-12,27.57,2014-11-20,A,,
47564,4125,2016-01-12,70.11,2014-11-20,A,,
47565,3676,2016-01-12,10.51,2013-11-28,I,,
47566,3925,2016-01-12,37.38,2014-03-21,I,,
47567,5864,2016-01-12,176.64,2014-03-21,D,,
47568,5987,2016-01-12,23.69,2013-07-02,H,,
47569,4984,2016-01-12,4.91,2013-10-04,N,,
47570,4272,2016-01-12,9.01,2013-10-04,B,,
47571,4470,2016-01-12,24.51,2014-03-21,K,,
47572,6693,2016-01-12,124.05,2014-08-13,D,,
47573,5728,2016-01-12,42.14,2003-08-25,C,,
47574,6667,2016-01-12,25.40,2014-11-11,P,,
47575,7320,2016-01-12,22.05,2015-07-26,A,,
47576,8070,2016-01-12,49.75,2007-02-15,F,,
47577,308,2016-01-13,19.59,2008-04-28,A,,
47578,57,2016-01-13,38.36,2013-11-14,C,,
47579,358,2016-01-13,3.27,2004-02-09,B,,
47580,14,2016-01-13,22.30,2004-06-24,F,,
47581,213,2016-01-13,82.76,2008-06-07,A,,
47582,14,2016-01-13,57.76,2004-06-24,F,,
47583,1096,2016-01-13,37.30,2014-10-28,C,,
47584,933,2016-01-13,245.89,2014-11-12,N,,
47585,4,2016-01-13,52.19,2011-07-28,B,,
47586,933,2016-01-13,91.53,2014-11-12,N,,
47587,933,2016-01-13,205.11,2014-11-12,N,,
47588,2078,2016-01-13,45.43,2014-10-01,I,,
47589,2692,2016-01-13,28.61,2014-12-20,C,,
47590,933,2016-01-13,136.29,2014-11-12,N,,
47591,933,2016-01-13,244.20,2014-11-12,N,,
47592,2576,2016-01-13,62.52,2014-10-07,F,,
47593,4162,2016-01-13,13.79,2016-01-13,M,,
47594,3955,2016-01-13,26.64,2014-03-21,G,,
47595,933,2016-01-13,223.73,2014-11-12,N,,
47596,2208,2016-01-13,47.58,2013-07-01,B,,
47597,2108,2016-01-13,17.13,2013-07-01,G,,
47598,5032,2016-01-13,6.14,2013-12-18,G,,
47599,3649,2016-01-13,76.78,2013-11-19,C,,
47600,2208,2016-01-13,34.92,2013-07-01,B,,
47601,4218,2016-01-13,3.20,2015-02-05,C,,
47602,3242,2016-01-13,9.16,2014-03-21,I,,
47603,6675,2016-01-13,12.21,2008-03-01,C,,
47604,5548,2016-01-13,50.66,2014-03-21,I,,
47605,6349,2016-01-13,20.41,2015-07-01,H,,
47606,6206,2016-01-13,26.15,2007-07-09,B,,
47607,7259,2016-01-13,2.86,2015-11-29,M,,
47608,6829,2016-01-13,11.06,2014-08-09,M,,
47609,8641,2016-01-13,8.19,2014-05-23,I,,
47610,8781,2016-01-13,3.07,2015-09-05,A,,
47611,173,2016-01-14,38.44,2007-06-05,C,,
47612,29,2016-01-14,10.50,2008-08-20,B,,
47613,872,2016-01-14,22.54,2012-10-03,C,,
